sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus,total_bikes,rent_bikes,return_bikes,prediction_error,residual,standardized_error,is_high_error,residual_sign
500101022,25.01491,121.53438,130,14956,4,5,0.3737373737373737,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500101022,25.01491,121.53438,130,14956,4,5,0.3737373737373737,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500101022,25.01491,121.53438,130,14956,4,5,0.3737373737373737,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101022,25.01491,121.53438,130,14956,4,5,0.3737373737373737,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101025,25.01295,121.53973,130,8342,2,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101025,25.01295,121.53973,130,8342,2,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101025,25.01295,121.53973,130,8342,2,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,0,1,0,0,0,1,90,45,90,57.553633246085255,-54.5066413662239,5.99412897050662,1,under
500101025,25.01295,121.53973,130,8342,2,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0,0,1,0,0,1,0,1,0,90,90,45,58.26753563788806,-54.5066413662239,6.084826079834936,1,under
500101032,25.01637,121.54535,130,17894,4,5,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,1,1,0,0,90,90,15,56.35927225306496,-44.5066413662239,5.842392415474375,1,under
500101032,25.01637,121.54535,130,17894,4,5,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101032,25.01637,121.54535,130,17894,4,5,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500101032,25.01637,121.54535,130,17894,4,5,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101101,25.02397,121.55266,130,13022,3,5,0.3125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101101,25.02397,121.55266,130,13022,3,5,0.3125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101101,25.02397,121.55266,130,13022,3,5,0.3125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101101,25.02397,121.55266,130,13022,3,5,0.3125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101110,25.0276,121.52217,130,19203,5,5,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101110,25.0276,121.52217,130,19203,5,5,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101110,25.0276,121.52217,130,19203,5,5,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101110,25.0276,121.52217,130,19203,5,5,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101137,25.04092,121.54825,130,18004,5,5,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101137,25.04092,121.54825,130,18004,5,5,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101137,25.04092,121.54825,130,18004,5,5,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101137,25.04092,121.54825,130,18004,5,5,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500101144,25.03332,121.53435,130,17161,4,5,0.2608695652173913,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,1,0,1,0,90,90,45,58.26753563788806,-54.5066413662239,6.084826079834936,1,under
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,0,1,90,45,90,57.553633246085255,-54.5066413662239,5.99412897050662,1,under
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500101181,25.01551,121.53374,130,15616,4,5,0.6161616161616161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500103009,25.07133,121.52024,130,18601,5,5,0.3950617283950617,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,0,0,1,1,0,0,90,90,15,56.35927225306496,-44.5066413662239,5.842392415474375,1,under
500103011,25.07567,121.51862,129,65775,18,4,0.046875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,0,1,0,90,45,45,43.119757527132535,-39.50664136622391,4.1603897658972855,1,under
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500103028,25.04991,121.5104,130,18362,5,5,0.4838709677419355,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500104031,25.08403,121.5249,130,19742,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500104031,25.08403,121.5249,130,19742,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500104031,25.08403,121.5249,130,19742,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500104031,25.08403,121.5249,130,19742,5,5,0.1212121212121212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,1,0,0,90,15,15,36.969093425527014,-19.506641366223906,3.3789839870815843,1,under
500104091,25.08577,121.52531,130,18902,5,5,0.1428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500104091,25.08577,121.52531,130,18902,5,5,0.1428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500104091,25.08577,121.52531,130,18902,5,5,0.1428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500104091,25.08577,121.52531,130,18902,5,5,0.1428571428571428,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500104108,25.10336,121.52263,130,13202,3,5,0.032258064516129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500104108,25.10336,121.52263,130,13202,3,5,0.032258064516129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500104108,25.10336,121.52263,130,13202,3,5,0.032258064516129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500104108,25.10336,121.52263,130,13202,3,5,0.032258064516129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500105007,24.99366,121.54124,130,20237,5,5,0.0158730158730158,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,0,1,1,0,0,90,90,15,56.35927225306496,-44.5066413662239,5.842392415474375,1,under
500105018,24.98737,121.57726,130,15242,4,5,0.532258064516129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,1,0,0,90,45,15,40.50401645246118,-29.506641366223906,3.8280752128882454,1,under
500106018,25.02723,121.51659,130,18842,5,5,0.3188405797101449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500106018,25.02723,121.51659,130,18842,5,5,0.3188405797101449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500106018,25.02723,121.51659,130,18842,5,5,0.3188405797101449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,1,0,90,15,45,39.8177348567545,-29.506641366223906,3.740887163610757,1,under
500106018,25.02723,121.51659,130,18842,5,5,0.3188405797101449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890684,0.2588190451025207,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
500106055,25.03545,121.51327,130,16682,4,5,0.074074074074074,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,1,1,0,0,0,0,1,90,15,90,55.12312781173605,-44.5066413662239,5.685347518541509,1,under
